epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.984,1.21954,3.48733,1.30939,0.00242,0.632,0.00363,0.00169,1.16552,3.46469,1.44476,0.0001,0.0001,0.0001
2,26.6851,0.78945,2.87192,1.00598,0.00382,1,0.80017,0.64656,0.65249,2.62544,0.78358,0.000217822,0.000217822,0.000217822
3,35.4542,0.66716,1.71495,0.88127,0.93145,0.97832,0.98363,0.79598,0.62338,2.25784,0.77921,0.000333268,0.000333268,0.000333268
4,44.2375,0.62506,1.16332,0.88112,0.91379,0.84797,0.95993,0.81046,0.60512,2.32975,0.78447,0.000446338,0.000446338,0.000446338
5,52.9793,0.65692,0.96586,0.89858,0.96962,0.496,0.88494,0.73978,0.59718,2.36544,0.78933,0.000557032,0.000557032,0.000557032
6,61.7345,0.64654,0.93369,0.89758,0.91057,0.472,0.85117,0.71346,0.60692,2.46659,0.78349,0.00066535,0.00066535,0.00066535
7,70.4371,0.59906,0.82395,0.87647,0.01488,1,0.81559,0.67978,0.65687,2.48985,0.79901,0.000771292,0.000771292,0.000771292
8,79.1375,0.6128,0.80626,0.88859,1,0.42267,0.66509,0.55785,0.64542,2.50216,0.82087,0.000874858,0.000874858,0.000874858
9,87.8904,0.60645,0.77234,0.88325,1,0.41872,0.81817,0.6551,0.70134,2.35488,0.82787,0.000976048,0.000976048,0.000976048
10,96.6111,0.59784,0.73066,0.88029,0.66718,0.2,0.5036,0.42516,0.61607,2.46045,0.85544,0.00107486,0.00107486,0.00107486
11,105.34,0.61914,0.72821,0.88267,0.79898,0.2,0.52728,0.39899,0.60265,2.68625,0.8694,0.0011713,0.0011713,0.0011713
12,114.114,0.6089,0.68531,0.87953,0.91785,0.608,0.90512,0.74783,0.69659,2.08629,0.86217,0.00126536,0.00126536,0.00126536
13,122.842,0.57021,0.66706,0.86409,0.81894,0.696,0.84601,0.72495,0.56054,1.97049,0.82803,0.00135705,0.00135705,0.00135705
14,131.663,0.58906,0.65563,0.8796,0.94484,0.54812,0.76778,0.64103,0.65886,1.9374,0.86079,0.00144636,0.00144636,0.00144636
15,140.374,0.62812,0.63945,0.8983,0.97469,0.9243,0.98868,0.84669,0.59795,1.40729,0.83705,0.00153329,0.00153329,0.00153329
16,149.173,0.59936,0.60437,0.88095,0.90732,0.952,0.97293,0.84072,0.59417,1.36122,0.83544,0.00161785,0.00161785,0.00161785
17,157.914,0.60991,0.60341,0.89086,0.80445,0.62532,0.76582,0.64595,0.65632,1.61984,0.83817,0.0016832,0.0016832,0.0016832
18,166.693,0.59544,0.56469,0.88117,0.71626,0.608,0.71777,0.61855,0.62975,1.40736,0.88092,0.0016634,0.0016634,0.0016634
19,175.378,0.59399,0.54276,0.89042,0.88759,0.896,0.94851,0.76841,0.68947,1.00481,0.91224,0.0016436,0.0016436,0.0016436
20,184.106,0.58506,0.53793,0.88915,0.74186,0.8,0.85127,0.72811,0.66018,1.16455,0.91403,0.0016238,0.0016238,0.0016238
21,192.771,0.5997,0.51347,0.88808,0.93273,0.936,0.98114,0.81892,0.6808,0.73262,0.97154,0.001604,0.001604,0.001604
22,201.476,0.57432,0.51848,0.88169,0.93065,0.96628,0.97983,0.81867,0.67393,0.87988,0.95144,0.0015842,0.0015842,0.0015842
23,210.245,0.58568,0.47984,0.88523,0.99057,0.984,0.9946,0.85931,0.59416,0.54946,0.90051,0.0015644,0.0015644,0.0015644
24,219.018,0.60142,0.48245,0.8843,0.99201,0.99324,0.995,0.8421,0.62124,0.59929,0.90714,0.0015446,0.0015446,0.0015446
25,227.749,0.56798,0.45503,0.88382,0.97845,1,0.99476,0.8902,0.52186,0.48494,0.85817,0.0015248,0.0015248,0.0015248
26,236.494,0.5537,0.43718,0.87494,0.99033,0.992,0.99484,0.88162,0.51143,0.48018,0.85872,0.001505,0.001505,0.001505
27,245.249,0.55112,0.43205,0.87663,0.97251,0.968,0.98904,0.85633,0.57474,0.47934,0.89206,0.0014852,0.0014852,0.0014852
28,254.051,0.54664,0.42636,0.88413,0.98669,0.992,0.99484,0.85919,0.56534,0.41984,0.8939,0.0014654,0.0014654,0.0014654
29,262.868,0.53491,0.40976,0.86289,0.99765,0.984,0.99476,0.84002,0.65461,0.51074,0.93254,0.0014456,0.0014456,0.0014456
30,271.629,0.52698,0.39512,0.8812,0.99173,0.95888,0.99303,0.86638,0.55394,0.53508,0.88812,0.0014258,0.0014258,0.0014258
31,280.425,0.52738,0.40348,0.85982,0.97104,0.984,0.99202,0.87981,0.53004,0.4589,0.87458,0.001406,0.001406,0.001406
32,289.227,0.53467,0.38694,0.87255,0.97225,0.992,0.99429,0.85392,0.553,0.51627,0.88265,0.0013862,0.0013862,0.0013862
33,297.987,0.5294,0.38672,0.87107,0.98453,0.992,0.99492,0.86992,0.52897,0.47253,0.88027,0.0013664,0.0013664,0.0013664
34,306.673,0.53952,0.38344,0.87148,0.96149,0.99864,0.98285,0.87676,0.50818,0.41752,0.8574,0.0013466,0.0013466,0.0013466
35,315.36,0.52261,0.37864,0.86077,0.95762,0.992,0.98639,0.87662,0.48211,0.45108,0.83785,0.0013268,0.0013268,0.0013268
36,323.903,0.50953,0.38197,0.86278,0.96843,0.98151,0.9785,0.85726,0.51333,0.39623,0.85803,0.001307,0.001307,0.001307
37,332.148,0.51276,0.37739,0.86422,0.98407,0.98815,0.99476,0.88887,0.47969,0.37283,0.84507,0.0012872,0.0012872,0.0012872
38,340.296,0.49905,0.37529,0.86186,0.97181,0.984,0.99105,0.85679,0.55061,0.51165,0.88756,0.0012674,0.0012674,0.0012674
39,348.399,0.52188,0.36852,0.86185,0.94517,1,0.96572,0.85047,0.48828,0.46467,0.85506,0.0012476,0.0012476,0.0012476
40,356.538,0.5152,0.36872,0.86993,0.97815,0.984,0.99412,0.87431,0.51434,0.35577,0.83845,0.0012278,0.0012278,0.0012278
